ID TimeDifference RTT
2, 0.019999999999999574, 0.042

3, 0.0710000000000015, 0.038

4, 0.019000000000000128, 0.043

5, 0.02149999999999963, 0.04

6, 0.019999999999999574, 0.038

7, 0.01899999999999835, 0.038

8, 0.06899999999999906, 0.038

9, 0.01899999999999835, 0.04

10, 0.019999999999999574, 0.039

11, 0.01950000000000074, 0.039

12, 0.01950000000000074, 0.038

13, 0.06899999999999551, 0.039

14, 0.01950000000000074, 0.038

15, 0.01899999999999835, 0.039

16, 0.01950000000000074, 0.039

17, 0.01950000000000074, 0.045

18, 0.07249999999999801, 0.038

19, 0.01899999999999835, 0.038

20, 0.01899999999999835, 0.039

21, 0.01950000000000074, 0.039

22, 0.01950000000000074, 0.039

23, 0.0694999999999979, 0.04

24, 0.020000000000003126, 0.039
25, 0.019499999999993634, 0.039
